incidentType,incidentSubType,reportDescription,name,phoneNumber,dateAndTime,landmark,address
Other,Missing person,"I can't find my lolo, he went out earlier and like, hindi pa siya bumabalik. We're so worried na.",Fernando Reyes,9268024680,2025/04/09 3:51:10,Malapit Sa St. Jude Parish Church,"Ilagan Avenue, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Other,Power/ water outage,"There is a power outage in our area. Also, we have no running water.",Gina Flores,9370135791,2025/04/09 5:06:45,In Front of Batangas Medical Center,"Agoncillo Road, Brgy. Pila-Kanluran, Batangas City, Batangas"
Other,Power/ water outage,Kanina pa pong walang kuryente at tubig dito sa amin. Kailan kaya ito babalik?,Henry Lopez,9482468024,2025/04/09 6:22:20,Beside Landbank Batangas City,"Sison Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Power/ water outage,"Hello, we have no electricity and parang the water supply is cut off din. It's been going on for hours na.",Ismael Cruz,9594703691,2025/04/09 7:37:55,Banda Ng Robinson's Place Batangas,"Lacson Boulevard, Brgy. 7, Batangas City, Batangas"
Other,Noise complaint,There is extremely loud music coming from a nearby house. It's disturbing the peace.,Juliana Perez,9606912345,2025/04/09 8:53:30,Near the Old Train Station,"Market Avenue, Brgy. Poblacion, Batangas City, Batangas"
Other,Noise complaint,"Sobrang ingay po ng kapitbahay namin, ang lakas-lakas ng kanilang karaoke. Hindi po kami makatulog.",Karlos Reyes,9718259147,2025/04/09 10:09:05,Likod Ng Public Market,"D. Silang Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Noise complaint,"Excuse me, but the sounds from next door are super loud, like a party yata. Can you do something about it?",Lorna Santos,9820586479,2025/04/09 11:24:40,Going to Balagtas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Other,Suspicious activity,I saw a group of people acting suspiciously near a parked vehicle. They seemed to be looking around nervously.,Manuel Flores,9032817465,2025/04/09 12:40:15,Near the Police Station,"Ejercito Drive, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Other,Suspicious activity,May mga kahina-hinalang tao na nakatambay malapit sa eskwelahan. Parang may binabalak silang masama.,Nancy Cruz,9145092378,2025/04/09 13:55:50,Malapit Sa General Malvar Hospital,"P. Dandan Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Suspicious activity,"There are some guys here and they're acting really weird, parang they're checking out the houses. It's kinda creepy.",Oscar Panganiban,9257369014,2025/04/09 15:11:25,Around Batangas Port,"Castillo Avenue, Brgy. Calicanto, Batangas City, Batangas"
Other,Scam,I received a text message asking for my bank details. It seems like a scam.,Princess Reyes,9369601237,2025/04/09 16:27:00,Near Golden Gate Subdivision,"Alabang-Batangas City National Road, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Other,Scam,May tumawag po sa akin na nagpapanggap na pulis at humihingi ng pera. Mukhang scam ito.,Quentin Santos,9471934560,2025/04/09 17:42:35,Sa May Palengke,"D. Silang Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Scam,"Someone messaged me on facebook saying I won something, but they're asking for a fee. I think it's a total scam.",Rachel Flores,9583267890,2025/04/09 18:58:10,Going Towards General Malvar Hospital,"P. Dandan Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Other,There is a large tree branch that fell and is blocking part of the road.,Salvador Lopez,9695401238,2025/04/09 20:13:45,Near the Old Train Station,"Rizal Avenue Extension, Brgy. Poblacion, Batangas City, Batangas"
Other,Other,"May malaking bato na nakaharang sa daan, delikado po ito.",Teresa Cruz,9707634561,2025/04/09 21:29:20,Likod Ng Public Market,"D. Silang Street, Brgy. Poblacion, Batangas City, Batangas"
Other,Other,"There's like, a really big puddle sa street and cars are having a hard time passing. It's causing traffic na.",Ulysses Panganiban,9819867892,2025/04/09 22:44:55,Going to Balagtas,"Diversion Road, Brgy. Balagtas, Batangas City, Batangas"
Man-made Incident,Fire,Fire incident reported! Thick Black smoke is billowing from a residential house located near the batangas city library. Firefighters are needed immediately to prevent it from spreading.,Helen Luna,9478899001,2025/04/09 15:05:00,Near the Batangas City Library,"P. Burgos Street, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Fire,Nasusunog po yung isang commercial building malapit sa batangas city coliseum! Malaki Ang apoy at kumakalat na sa katabing mga establisyimento.,Jenny Nieto,9180011223,2025/04/09 15:15:00,Near the Batangas City Coliseum,"Yulo Road, Brgy. Calicanto, Batangas City, Batangas"
Man-made Incident,Fire,May sunog daw sa isang store near st. Bridget school. I can see thick smoke and parang the flames are getting bigger na. Need fire trucks now!,Ian Mercado,9159900112,2025/04/09 15:10:00,Near the St. Bridget School,"Laurel Avenue, Brgy. Kumintang Ibaba, Batangas City, Batangas"
Man-made Incident,Explosion,May sumabog dito sa may port area! Malakas Ang tunog at may nakita kaming usok na itim. Hindi namin alam kung ano ang sanhi.,Larry Pineda,9232233445,2025/05/11 10:30:00,Batangas City Port Area,"Access Road, Brgy. Sta. Clara, Batangas City, Batangas"
Man-made Incident,Explosion,Reporting a possible explosion at a warehouse complex in brgy. Bolbok. I heard a very loud bang and then saw a large plume of smoke rising from the area.,Patrick Tan,9986677889,2025/05/11 10:50:00,Warehouse Compound,"Rizal Street, Brgy. Bolbok, Batangas City, Batangas"
Man-made Incident,Explosion,Big explosion heard near the public market! The Ground shook a bit and parang may debris flying around. Nakakatakot!,Nestor Roces,9174455667,2025/05/11 10:40:00,Near the Batangas City Public Market,"D. Silang Street, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Chemical or oil spill,May naamoy kaming masangsang na kemikal dito malapit sa shell refinery. Parang may tumagas na nakakahalong langis galing sa planta.,Queenie Uriarte,9227788990,2025/06/18 9:00:00,Near Shell Refinery,"Luna Road, Brgy. Tabangao, Batangas City, Batangas"
Man-made Incident,Chemical or oil spill,Reporting a strong and irritating chemical odor near the port terminal in batangas port. Some people in the vicinity are complaining of dizziness and nausea.,Ursula Beltran,9181122334,2025/06/18 10:00:00,Port Terminal,"Batangas Port, Brgy. Sta. Clara, Batangas City, Batangas"
Man-made Incident,Chemical or oil spill,Nakakita kami ng truck na parang may tinatapon na oily substance sa kanal dito near the calicanto bridge. I think it's a chemical or oil spill ata to.,Susan Yap,9479900112,2025/06/18 9:30:00,Near the Calicanto Bridge,"Magsaysay Drive, Brgy. Calicanto, Batangas City, Batangas"
Man-made Incident,Terrorism,"Suspicious package left unattended at plaza mabini. It looks like a potential bomb threat, and the area needs to be secured immediately. Police are urgently needed.",Victor Chong,9992233445,2025/07/25 20:00:00,Plaza Mabini,"Plaza Mabini, Brgy. Poblacion, Batangas City, Batangas"
Man-made Incident,Terrorism,May kahina-hinalang bag na iniwan sa tapat mismo ng batangas capitol building tapos tumakbo yung nag-iwan! Baka Po bomba ito!,Wendy Dee,9233344556,2025/07/25 20:15:00,Batangas Capitol Building,"Capitol Site, Brgy. Kumintang Ilaya, Batangas City, Batangas"
Man-made Incident,Terrorism,"May report na may suspicious individuals daw inside batangas state university, kinakabahan ang lahat! Please Send police assistance urgently!",Jeff Tan,9129876512,2025/04/01 21:30:00,Batangas State University,"Aguinaldo Highway, Brgy. Bolbok, Batangas City, Batangas"
